,Androgen,EGFR,Estrogen,Hypoxia,JAK-STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,WNT,p53,cell_type,disease,sample
S_2103_004073_CCD-IC-A,4.524285057349449,-1.516490174521613,-2.0697411953819262,3.3210301339681085,0.7519107393966731,-5.228448394067579,-2.5920017786186924,-7.132434941849779,0.7510223370526005,2.43632220289488,-1.4990660208642017,-1.3435878367363012,-0.9263683844117835,-8.285035205038296,CCD-IC-A,Type 1 Diabetes,S_2103_004073
S_2103_004091_CCD-IC-A,4.400673174757605,-1.6969823168162894,-1.7717497776664621,3.0829901837512277,0.5148080167113318,-5.469757234183344,-2.20291755756307,-6.372954829947052,1.7272484000189834,1.7115473748951824,-1.727630341769987,-1.0603756022705793,-1.2485027234477803,-8.144549330221068,CCD-IC-A,Lean Control,S_2103_004091
S_2103_004100_CCD-IC-A,4.015944647812181,0.1937007843860636,-2.205402023443042,3.3430205271576288,0.8628168030287694,-5.444259094886933,-2.4566478408068413,-7.745743211241661,1.1116426043578966,2.186945691041898,-0.7067059027828707,-0.6087220795843463,-1.193819993592072,-7.427276634256019,CCD-IC-A,Type 1 Diabetes,S_2103_004100
S_2103_004109_CCD-IC-A,5.020451282569657,-1.5814100179030437,-2.3619652979676244,3.545173771544649,0.252077016841111,-4.948062861384701,-1.844943905539733,-6.158069264138457,0.9955627330827039,1.6107597235698767,-1.4414311679736933,-1.4356104355333588,-1.043453946273907,-8.923693830447624,CCD-IC-A,Type 1 Diabetes,S_2103_004109
S_2103_004118_CCD-IC-A,4.785635099949901,-2.2864326847997702,-2.6155016389355863,3.653527788082916,0.3049226314022956,-4.379287058804122,-2.4343273144014486,-6.779962179568119,0.8507943879663155,2.0492813019094647,-2.0318790084439384,-1.5807000282767727,-0.9331435529418662,-9.032434716436832,CCD-IC-A,Type 1 Diabetes,S_2103_004118
S_2103_004127_CCD-IC-A,4.789715373633777,-1.6571329822909566,-2.301521329923348,3.158790199536834,0.23790495346826004,-5.188337636682095,-2.4749550384860806,-6.889184784136546,0.508118095137919,2.125025616232477,-1.6681555355935964,-1.1947136239997322,-1.1580068291313284,-8.715739708334223,CCD-IC-A,Lean Control,S_2103_004127
S_2103_004145_CCD-IC-A,5.322606162616187,-1.6010597861192633,-1.9365584907696474,3.541961621528163,0.46147437307881917,-5.515353005185618,-2.2781314103554924,-6.855876610925238,0.9022560633296522,2.011887918603702,-1.705448083215322,-1.8116081518335838,-1.2692240301300115,-9.0421535181437,CCD-IC-A,Type 1 Diabetes,S_2103_004145
S_2103_004154_CCD-IC-A,5.101221589681416,-1.9755443873534668,-2.610702172799932,4.119644009812754,1.8909337872418732,-5.329979243570775,-2.2949888297086463,-7.591593542477091,0.3873394259485479,1.9651042470402198,-1.9028428755171833,-1.430188797636988,-1.0462372875045776,-8.250433875374732,CCD-IC-A,Type 1 Diabetes,S_2103_004154
S_2103_004163_CCD-IC-A,4.6344256821369045,0.09406602431955778,-2.162804881526524,3.218748463949413,0.8128742241526606,-6.17918944189565,-2.194761733398651,-7.499320165731371,0.8623045613123513,2.0580935455633336,-1.1960449356477698,-1.5116426103699019,-1.419004982472654,-7.310935070417543,CCD-IC-A,Type 1 Diabetes,S_2103_004163
S_2103_004181_CCD-IC-A,4.64802123043357,-1.3251629352904928,-2.8281307929902195,3.524170761472891,0.9119226990961364,-5.187861447820182,-2.4771557265226116,-7.873115361613863,1.495912176383553,2.203275594561086,-1.73183938759955,-1.4681228325899518,-1.1477409177614535,-7.461493569537924,CCD-IC-A,Type 1 Diabetes,S_2103_004181
S_2107_023520_CCD-IC-A,4.802453124778272,-1.1583866863860797,-2.609192930174219,4.295365880500545,0.316625598305323,-5.500329986291073,-2.4588347380474347,-7.371115583697676,0.9624956318494371,2.370650876846512,-1.6450299405377817,-1.4416632521801827,-1.195761668678577,-8.24917816543514,CCD-IC-A,Type 1 Diabetes,S_2107_023520
S_2107_023538_CCD-IC-A,4.414698686485955,-0.9669735678321602,-2.313675113421993,3.1553992616291326,0.6029771077997332,-5.804341698520405,-2.5825839245293727,-7.129177951811514,0.7954888159928807,2.1966683345682725,-1.3734872255875379,-1.7267417256516504,-1.400148483453266,-7.762225188478279,CCD-IC-A,Lean Control,S_2107_023538
S_2107_023547_CCD-IC-A,4.3767420704484,-1.487683115310996,-2.375904328008241,3.8201466044099472,0.6206255990106836,-5.698835356715797,-2.8540932366950944,-7.847186703619776,1.0802640713372411,2.508768120466726,-0.6336238917261542,-0.9523061504669618,-1.8955255138251748,-7.7554555662801,CCD-IC-A,Type 1 Diabetes,S_2107_023547
S_2107_023556_CCD-IC-A,5.142429806587074,-1.3065202471259312,-2.183057917904052,3.7069099046590788,0.6619818388145714,-5.139143910993624,-1.9435636030176262,-6.032871031654679,0.9694686548952837,1.7274147331701837,-2.180630863693233,-1.424506285176518,-0.8827065457522733,-8.408969430777335,CCD-IC-A,Lean Control,S_2107_023556
S_2107_023592_CCD-IC-A,4.777837789631615,-2.1427471792115718,-2.3313200571273027,3.8475451655838357,0.5860723132555956,-5.146835975196578,-2.0922491902959655,-6.953737357998784,0.8788624639348376,1.8875854240691543,-2.085326024854901,-1.543709009432153,-1.2069947122876157,-8.360832048442898,CCD-IC-A,Type 1 Diabetes,S_2107_023592
